time,Q
2014-07-01 00:00:00,130.521
2014-07-02 00:00:00,143.778
2014-07-03 00:00:00,170.254
2014-07-04 00:00:00,187.463
2014-07-05 00:00:00,228.755
2014-07-06 00:00:00,305.046
2014-07-07 00:00:00,373.626
2014-07-08 00:00:00,416.507
2014-07-09 00:00:00,463.956
2014-07-10 00:00:00,466.002
2014-07-11 00:00:00,454.624
2014-07-12 00:00:00,434.031
2014-07-13 00:00:00,404.762
2014-07-14 00:00:00,376.178
2014-07-15 00:00:00,341.28
